First Name,Last Name,Tag,2013 Rank,Main(s),Region,Rating
Ken,Hoang,Ken,100,Marth,SoCal,6.526
Jason,Kirk,PKMVodka,99,Marth,Canada,6.576
Christoffer,Harting,Vist,98,Luigi,Maryland/Virginia,6.583
Kevin,Bandel,Hyprid,97,Marth,NorCal,6.600
Jason,Yoon,Bizzarro Flame,96,Ganondorf,NorCal,6.614
Kris,Aldenderfer,Toph,95,Fox,NorCal,6.649
Gordon,Connell,G$,94,Falco/Marth,Tri-State,6.671
Eric,Lew,ESAM,93,Samus,Florida,6.673
Matt,Tafazoli,Stabbedbyahippie,92,Falco,SoCal,6.676
Yōsuke,Kōno,Kounotori,91,Falco,Japan,6.677
Robert,Dollars,Bob$,90,Marth,NorCal,6.694
Roy,Valle,Trail,89,Ice Climbers,Midwest,6.743
Phil,DeBerry,Phil,87,Fox,NorCal,6.767
Larry,Holland,DEHF,87,Falco,SoCal,6.767
Evan,Rodriguez,Sion,86,Falco,Canada,6.768
Will,Hsiao,Reno,85,Sheik/Fox,Tri-State,6.768
Vish,Rajkumar,Vish,84,Captain Falcon,Washington,6.781
Josh,Niehueser,Dart!,83,Marth,Midwest,6.797
Robert,Schueller,OkamiBW,82,Sheik,SoCal,6.848
Landon,Cox,DarknessofHeart,81,Peach,Maryland/Virginia,6.875
Frank,Borden,Frootloop,80,Fox,Midwest,6.903
Tim,Tilley,Swiftbass,79,Marth/Fox,New England,6.927
Santiago,Merino Ruiz,Strawhat Dahean,78,Marth,Spain,6.955
Masaya,Chikamoto,aMSa,77,Yoshi,Japan,6.989
Chad,McCullough,PikaChad,76,Pikachu,Alabama,7.015
James,Ma,Duck,75,Samus,Midwest,7.022
Shane,Johns,Eggz,74,Fox,Oregon,7.026
Imadh,Bedri,IB,73,Marth,Canada,7.036
Sung,Lee,Sung666,72,Falco/Sheik,SoCal,7.040
Andrew,Vo,Tai,71,Marth,Arizona,7.054
Marquise,Williamson,StriCNYN3,70,Falco,Tri-State,7.058
Maxime,Lambert,Bam,69,Falco,Canada,7.068
David,Hughes,Zoso,68,Marth,New England,7.088
Eric,Brown,Blunted_Object,67,Falco,Canada,7.097
James,Liu,Swedish Delight,66,Sheik,Tri-State,7.105
Nao,Iguchi,Gucci,65,Captain Falcon,Japan,7.129
Darrell,White,Darrell,64,Samus,NorCal,7.133
Ryan,Coker-Welch,The Moon,63,Marth,Tri-State,7.137
Bobby,Scarduzio,Scar,62,Captain Falcon,NorCal,7.154
Daniel,Lee,Tafokints,61,Sheik,SoCal,7.182
Connor,Nguyen,Connor,60,Peach/Fox,SoCal,7.188
Charles,Kimmelman,Fuzzyness,59,Fox,United Kingdom,7.189
Stephen,Abate,Abate,58,Luigi,Pittsburgh,7.231
Cameron,Smucker,Cyrain,57,Fox/Falco,Maryland/Virginia,7.270
Matthew,Jewell,Tope,56,Sheik,New England,7.276
Brandon,Collier,HomeMadeWaffles,55,Falco,NorCal,7.282
Timothy,Cody,Eggm,54,Fox,Tri-State,7.286
Austin,Self,Redd,53,Fox,Maryland/Virginia,7.321
Kelly,Smith,Kels,52,Fox,Midwest,7.363
Jeff,Leung,SilentSpectre,51,Captain Falcon,NorCal,7.387
Jesus,Fernandez,Jman,50,Fox,Tri-State,7.413
Lucien,Mayo,Lucien,49,Sheik,NorCal,7.429
Michael,Brancato,Nintendude,48,Ice Climbers,Maryland/Virginia,7.444
Hugo,Gonzalez,HugS,47,Samus,SoCal,7.449
Binyan,Lin,DarkAtma,46,Sheik/Peach,Midwest,7.471
Dustin,Hayes,Darc,45,Jigglypuff,New England,7.511
Camilo,Morales,Weon-X,44,Fox,Canada,7.514
Oscar,Nilsson,Lovage,42,Fox,SoCal,7.550
Eduardo,Lucatero Rincon,Eddy_Mexico,42,Luigi,SoCal,7.550
Hendrick,Pilar,DJ Nintendo,41,Fox/Samus/Bowser,Tri-State,7.588
Charles,Meighen,Cactuar,40,Fox/Marth,Tri-State,7.610
David,John,Darkrain,39,Captain Falcon,Midwest,7.625
Billy,Gardella,th0rn,38,Falco,New England,7.635
Vincent,Jodoin,Vwins,36,Peach,Canada,7.647
Jaden,Carr,VaNz,36,Peach,Midwest,7.647
Roustane,Benzeguir,Kage the Warrior,34,Ganondorf,Canada,7.658
Teddy,Seybold,Bladewise,34,Peach,Washington,7.658
Daniel,Jung,KoreanDJ,33,Sheik/Fox/Marth,New England,7.663
McCain,Lavelle,MacD,32,Peach,SoCal,7.674
Shephard,Lima,Fiction,31,Fox,SoCal,7.684
Bronson,Layton,Dashizwiz,30,Falco,Florida,7.788
Erick,Lui,Lord,29,Captain Falcon,NorCal,7.800
Colin,Green,Colbol,28,Fox,Florida,7.819
Justin,McGrath,Plup,27,Samus,Florida,7.832
Kashan,Khan,Chillindude829,26,Fox,Maryland/Virginia,7.940
Roberto,Iglesias,OverTriforce,25,Sheik,Spain,7.972
Tony,Jackson,Taj,24,Marth/Mewtwo,Arizona,8.039
Weston,Dennis,Westballz,23,Falco,SoCal,8.100
Daniel,Rodriguez,ChuDat,22,Ice Climbers,Maryland/Virginia,8.288
Jeremy,Westfahl,Fly_Amanita,21,Ice Climbers,SoCal,8.358
Joey,Aldama,Lucky,20,Fox,SoCal,8.436
Johnny,Kim,S2J,19,Captain Falcon,SoCal,8.458
Julian,Zhu,Zhu,18,Falco,NorCal,8.483
Javier,Dantes,Javi,17,Fox,Mexico,8.500
Otto,Bisno,Silent Wolf,16,Fox,Washington,8.550
Ryan,Ford,Unknown522,15,Fox,Canada,8.578
William,Hjelte,Leffen,14,Fox,Sweden,8.603
Mustafa,Akcakaya,Ice,13,Sheik/Marth,Germany,8.675
Kevin,Toy,PewPewU,12,Marth,NorCal,8.723
Jeffrey,Williamson,Axe,11,Pikachu,Arizona,8.750
Zac,Cordoni,SFAT,10,NorCal,Fox,8.775
David,Macdonald,KirbyKaze,9,Canada,Sheik,8.828
Robert,Wright,Wobbles,8,Arizona,Ice Climbers,8.910
Dajuan,McDaniel,Shroomed,7,Norcal,Doctor Mario/Sheik/Marth,8.938
Aziz,Al-Yami,Hax,6,Tri-State,Captain Falcon,9.138
Juan,Debiedma,Hungrybox,5,Florida,Jigglypuff,9.688
Kevin,Nanney,Dr. PeePee,4,North Carolina,Falco,9.700
Jason,Zimmerman,Mew2King,3,Tri-state,Sheik/Marth/Fox,9.800
Adam,Lindgren,Armada,2,Sweden,Peach,9.925
Joseph,Marquez,Mang0,1,SoCal,Fox/Falco,10
