Sponsor(s),First Name,Last Name,Tag,Twitter,2014 Rank,2013 Rank,Change in Rank,Main(s),Region,Rating,Apex 2014,MLG 2014,CEO 2014,EVO 2014,TBH4
Clash Tournaments,Eric,Lew,ESAM,@Samericus,100,(93),-7,Samus,Florida,6.683,49th,-,-,-,-
,Frank,Borden,Frootloop,,99,(80),-19,Falco,Wisconsin,6.686,65th,-,-,-,49th
,Cory,Hong,Milkman,@MilkMan_SSBM,98,(NEW),N/A,Fox,MD/VA,6.700,129th,-,-,97th,33rd
Game Guys,Malherbe,Oscar,Mojo,@AHotCupOfMojo,97,(NEW),N/A,Fox,Texas,6.715,-,45th,-,-,-
,Austin,Demmon,Azusa,,96,(NEW),N/A,Peach,NorCal,6.716,-,-,-,-,-
,Kevin,Bandel,Hyprid,,95,(97),+2,Marth,NorCal,6.721,-,-,-,25th,-
,Jason,Yoon,Bizzarro Flame,@Bizzarro_Flame,94,(96),+2,Ganondorf,NorCal,6.743,-,37th,-,65th,33rd
,Connor,Nguyen,Connorthekid,@ConnorTheKid4,93,(60),-33,Fox/Peach,SoCal,6.746,-,37th,-,33rd,-
,Alex,Ruvalcaba,Alex19,@mach1alex19,92,(NEW),N/A,Fox,SoCal,6.790,-,37th,-,-,-
MeleeItOnMe,Kris,Aldenderfer,Toph,@toph_bbq,91,(95),+4,Fox,NorCal,6.791,65th,269th (D/Q),17th,97th,49th
,Sam,Rohrer,Laudandus,@Laudandus,90,(NEW),N/A,Sheik,NorCal,6.802,-,-,-,49th,33rd
MeleeItOnMe,Bobby,Scarnewman,Scar,@bobbyscar,89,(62),-27,Captain Falcon,Norcal,6.809,33rd,-,33rd,49th,65th
,Roy,Valle,Trail,,88,(89),+1,Ice Climbers/Ganondorf,Illinois,6.815,-,-,-,129th,33rd
,Adrian,Perez,Lord HDL,,87,(NEW),N/A,Link/Marth,Puerto Rico,6.819,-,-,-,33rd,-
,Lucien,Mayo,Lucien,,86,(49),-37,Sheik,NorCal,6.827,-,-,-,33rd,-
,Andrew,Vo,Tai,@TeeAyEye,85,(71),-14,Marth,Arizona,6.835,49th,-,-,65th,33rd
,Dustin,White,Gravy,@iaregravy,84,(NEW),N/A,Captain Falcon,Florida,6.839,-,-,-,-,17th
,Sami,Muhanna,DruggedFox,,83,(NEW),N/A,Fox,Georgia,6.844,-,-,25th,97th,-
,Matthew,Jewell,Tope,,82,(56),-26,Sheik,MD/VA,6.891,25th,-,-,-,-
Apollo Games,Austin,Conley,Arc,@AG_Arc88,81,(NEW),N/A,Marth,Texas,6.892,-,25th,13th,65th,-
MGFC,Timothy,Cody,Eggm,,80,(54),-26,Fox,Tri-State,6.900,65th,-,-,-,-
,Landon,Cox,DoH,@DeeOhAytch,79,(81),+2,Peach,MD/VA,6.922,33rd,45th,-,65th,49th
,Jason,Diehl,Gahtzu,@Gahtzu,78,(NEW),N/A,Captain Falcon,Florida,6.950,49th,45th,-,-,33rd
Apex,Will,Hsiao,Reno,@RenoNY,77,(85),+8,Sheik/Fox,SoCal,6.954,65th,37th,-,65th,-
,Chad,McCullough,Pikachad,@PikaChad_,76,(76),+0,Pikachu,Tennessee,6.956,-,45th,13th,49th,-
,Brandon,Collier,HomeMadeWaffles,,75,(55),-20,Falco/Fox,NorCal,6.986,49th,-,-,65th,49th
,Cameron,Smucker,Cyrain,@Cyrain,74,(57),-17,Fox/Falco,MD/VA,7.000,65th,-,-,33rd,-
MGFC,Marquise,Williamson,StriCNYN3,@DRIVEALIVEAPP,73,(70),-3,Falco,Tri-State,7.014,33rd,-,-,-,-
LowLandLions,Rehman,Shafi,Remen,@Remenyan,72,(NEW),N/A,Falco,Netherlands,7.017,-,17th,-,-,-
,Tyler,Hankins,Hanky Panky,,71,(NEW),N/A,Peach,Ohio,7.039,-,-,-,-,17th
VGBootCamp,Austin,Self,Redd,@Reddd91,70,(53),-17,Fox,MD/VA,7.058,49th,-,-,-,33rd
Versus,Michelangelo,Greco,Blea Gelo,@VSBleaGelo,69,(NEW),N/A,Luigi,Florida,7.058,-,29th,9th,-,-
,Josh,Niehueser,Dart!,@Dart_JTN,68,(83),+15,Marth,Illinois,7.062,-,-,-,-,25th
,Santiago,Piñon,Lil Fumi,,67,(NEW),N/A,Fox,SoCal,7.070,-,21st,-,-,-
MeleeItOnMe,Daniel,Lee,Tafokints,@tafokints,66,(61),-5,Sheik,SoCal,7.090,25th,45th,-,49th,49th
VwS,Charles,Kimmelman,Fuzzyness,@FuzzynessUK,65,(59),-6,Fox,UK,7.126,33rd,-,-,-,-
Smash Studios,Joshua,Davis,s0ft,@ss_s0ft,64,(NEW),N/A,Jigglypuff,Georgia,7.141,7th,17th,-,49th,-
Versus,Elam,Ucles,Beer Man (Lambchops),,63,(NEW),N/A,Falco,Florida,7.148,-,-,-,33rd,-
,Anthony,Detres,Slox,@Slox_,62,(NEW),N/A,"Fox, Falcon",New England,7.148,97th,-,-,-,-
,Darrell,White,Darrell,@darrellsamus,61,(64),+3,Samus,NorCal,7.162,49th,-,-,33rd,49th
,Alan,Baretto,Excel Zero,@ExcelZeroPR,60,(NEW),N/A,Peach,Puerto Rico,7.173,25th,-,-,49th,-
,Jaden,Carr,VaNz,,59,(36),-23,Peach/Sheik,NEOH/PGH / Tri-State,7.188,-,-,-,-,33rd
Team Liquid,Ken,Hoang,Ken,@LiquidKen,58,(100),+42,Marth,SoCal,7.200,-,21st,33rd,33rd,-
,Rob,Schueller,OkamiBW,@OkamiBW,57,(82),+25,Sheik,SoCal,7.214,49th,21st,-,33rd,-
MGFC,James,Liu,Swedish Delight,@LamesJiu,56,(66),+10,Sheik,Tri-state,7.222,49th,-,-,25th,-
,Dustin,Hayes,Darc,@darcssbm,55,(45),-10,Jigglypuff,New England,7.234,17th,-,-,-,-
,Imadh,Bedri,IB,@ib_theone,54,(73),+19,Marth,Ontario,7.237,-,-,-,-,-
Versus,Clay,Eau Le Doet,Porkchops,@VsPorkchops,53,(NEW),N/A,Falco,Florida,7.242,65th,-,17th,-,25th
,Binyan,Lin,Darkatma,@darkatma,52,(46),-6,Sheik,Missouri,7.245,17th,-,-,65th,65th
LP,Bernard,Maffi,Raynex,@raynexpress,51,(NEW),N/A,Fox,Ontario,7.250,-,-,-,-,25th
,David,Hughes,Zoso,@TheRealZoSo,50,(68),+18,Marth,New England,7.254,-,-,-,-,-
,Timothy,Tilley,Swift,@Gibsonzero,49,(79),+30,"Marth, Fox",New England,7.280,25th,-,-,33rd,-
Team Liquid,Daniel,Jung,KoreanDJ,@LiquidKDJ,48,(33),-15,"Marth, Sheik",New England,7.319,17th,29th,17th,65th,-
,Jeff,Leung,Silentspectre,,47,(51),+4,Captain Falcon,Norcal,7.340,-,-,-,49th,-
,Alex,Shnayder,Zanguzen,@zanguzen,46,(NEW),N/A,Falco,Tri-state,7.372,49th,29th,13th,33rd,25th
,Roustane,Benzeguir,Kage the Warrior,@Kagethewarrior,45,(35),-10,Ganondorf,Montreal,7.413,25th,-,-,-,-
,David,John,Darkrain,,44,(39),-5,Captain Falcon,Kansas,7.428,-,-,-,25th,25th
EMG,Camilo,Morales,Weon-X,@camilownx,43,(44),+1,Fox,Ontario,7.456,-,-,-,-,-
,Charles,Meighen,Cactuar,@cactussmash,42,(40),-2,Fox,Pennsylvania,7.457,65th,29th,-,49th,33rd
,Erick,Lui,Lord,,41,(29),-12,Captain Falcon,NorCal,7.459,-,-,-,49th,-
,Kyle,Zhu,Kalamazhu,@MW_Buster,40,(NEW),N/A,Peach,Michigan,7.486,-,-,-,49th,9th
,Hendrick,Pilar,DJ Nintendo,@DJNintendo17,39,(41),+2,Fox,Tri-State,7.490,33rd,-,17th,33rd,17th
,James,Ma,Duck,@ssbDuck,38,(75),+37,Samus,Michigan,7.517,129th,45th,-,33rd,25th
FRQ,Hugo,Gonzalez,HugS,@HugS86,37,(47),+10,Samus,SoCal,7.553,17th,45th,-,49th,33rd
,Larry,Holland,Larry Lurr,@LarryLurr,36,(87),+51,Falco,SoCal,7.613,49th,25th,13th,33rd,-
,Gonzalo,Barrios,ZeRo,@ZeRoSSB,35,(NEW),N/A,Fox,Chile,7.645,-,17th,17th,17th,-
,Stephen,Abate,Abate,@AbateSmash,34,(58),+24,Luigi,Pennsylvania,7.650,-,-,-,-,17th
62 bit,Teddy,Seybold,Bladewise,@bladewise00,33,(34),+1,Peach,Washington,7.692,33rd,37th,-,25th,25th
Mortality,Daniel,Rodriguez,Chu Dat,@MorChuDat,32,(22),-10,Ice Climbers,MD/VA,7.823,33rd,29th,9th,17th,513th (D/Q)
XTR,Eduardo,Lucatero Rincon,Eddy Mexico,@EddyMexico007,31,(42),+11,Luigi,Mexico,7.825,-,25th,-,17th,-
CTRL Gaming,Ryan,Coker-Welch,The Moon,@TheMoon112,30,(63),+33,Marth,Tri-State,7.827,25th,-,9th,25th,13th
COG Gaming,Justin,Hallet,Wizzrobe,@wizzrobe,29,(NEW),N/A,Captain Falcon,Florida,7.938,49th,-,5th,-,13th
,Kelly,Smith,Kels,@Smashking88,28,(52),+24,Fox,Illinois,7.948,-,-,-,49th,7th
,Javier,Ruiz,Javi,@Javier_Ruix,27,(17),-10,Fox,Mexico,7.979,-,-,-,25th,-
Team Curse,Kashan,Khan,Chillindude,@chillindude829,26,(26),+0,Fox,MD/VA,7.998,33rd,37th,17th,9th,-
